dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.671060,16.374561,0.000596,0.059564,2.978188,148.909412,0.000810
0.020000,4.671060,16.374561,0.002978,0.178691,5.956376,148.909412,0.000663
0.020000,4.671060,16.374561,0.007743,0.297819,5.956376,-0.000000,0.000367
0.020000,4.672276,16.374561,0.014891,0.416946,5.956376,0.000000,6.283110
0.020000,4.681807,16.374557,0.024421,0.536074,5.956376,-0.000000,6.282521
0.020000,4.693720,16.374545,0.036334,0.655201,5.956376,0.000000,6.281785
0.020000,4.708015,16.374518,0.050629,0.774329,5.956376,0.000000,6.280903
0.020000,4.724692,16.374472,0.067307,0.893456,5.956376,-0.000000,6.279876
0.020000,4.743753,16.374397,0.086367,1.012584,5.956376,0.000000,6.278705
0.020000,4.765195,16.374287,0.107810,1.131712,5.956376,0.000000,6.277391
0.020000,4.789021,16.374132,0.131636,1.250839,5.956376,0.000000,6.275935
0.020000,4.815228,16.373921,0.157844,1.369967,5.956376,-0.000000,6.274339
0.020000,4.843817,16.373643,0.186435,1.489094,5.956376,0.000000,6.272603
0.020000,4.874788,16.373286,0.217408,1.608222,5.956376,0.000000,6.270730
0.020000,4.908141,16.372837,0.250763,1.727349,5.956376,-0.000000,6.268721
0.020000,4.943875,16.372282,0.286502,1.846477,5.956376,0.000000,6.266577
0.020000,4.981989,16.371606,0.324623,1.965604,5.956376,0.000000,6.264302
0.020000,5.022485,16.370792,0.365126,2.084732,5.956376,0.000000,6.261897
0.020000,5.065360,16.369825,0.408012,2.203859,5.956376,0.000000,6.259365
0.020000,5.110614,16.368687,0.453280,2.322987,5.956376,-0.000000,6.256708
0.020000,5.158246,16.367359,0.500931,2.442114,5.956376,0.000000,6.253929
0.020000,5.208256,16.365823,0.550965,2.561242,5.956376,0.000000,6.251030
0.020000,5.260643,16.364058,0.603381,2.680369,5.956376,-0.000000,6.248015
0.020000,5.315404,16.362046,0.658180,2.799497,5.956376,0.000000,6.244887
0.020000,5.372540,16.359764,0.715361,2.918624,5.956376,-0.000000,6.241650
0.020000,5.432048,16.357191,0.774925,3.037752,5.956376,0.000000,6.238306
0.020000,5.493927,16.354305,0.836871,3.156880,5.956376,-0.000000,6.234859
0.020000,5.558175,16.351083,0.901200,3.276007,5.956376,-0.000000,6.231315
0.020000,5.624790,16.347503,0.967911,3.395135,5.956376,0.000000,6.227675
0.020000,5.693770,16.343541,1.037005,3.514262,5.956376,-0.000000,6.223946
0.020000,5.765113,16.339173,1.108482,3.633390,5.956376,0.000000,6.220132
0.020000,5.838816,16.334375,1.182341,3.752517,5.956376,-0.000000,6.216236
0.020000,5.914877,16.329123,1.258582,3.871645,5.956376,0.000000,6.212265
0.020000,5.993292,16.323393,1.337207,3.990772,5.956376,-0.000000,6.208223
0.020000,6.074058,16.317160,1.418213,4.109900,5.956376,0.000000,6.204115
0.020000,6.157173,16.310399,1.501603,4.229027,5.956376,-0.000000,6.199947
0.020000,6.242633,16.303087,1.587374,4.348155,5.956376,0.000000,6.195725
0.020000,6.330433,16.295199,1.675529,4.467282,5.956376,0.000000,6.191455
0.020000,6.420571,16.286711,1.766066,4.586410,5.956376,0.000000,6.187142
0.020000,6.513043,16.277599,1.858985,4.705537,5.956376,0.000000,6.182793
0.020000,6.607844,16.267839,1.954287,4.824665,5.956376,0.000000,6.178414
0.020000,6.704970,16.257408,2.051972,4.943792,5.956376,-0.000000,6.174013
0.020000,6.804417,16.246285,2.152039,5.062920,5.956376,0.000000,6.169595
0.020000,6.906180,16.234447,2.254488,5.182048,5.956376,0.000000,6.165167
0.020000,7.010255,16.221872,2.359321,5.301175,5.956376,0.000000,6.160738
0.020000,7.116638,16.208540,2.466535,5.420303,5.956376,-0.000000,6.156314
0.020000,7.225323,16.194432,2.576133,5.539430,5.956376,0.000000,6.151903
0.020000,7.336307,16.179528,2.688113,5.658558,5.956376,0.000000,6.147512
0.020000,7.449584,16.163812,2.802475,5.777685,5.956376,0.000000,6.143149
0.020000,7.565150,16.147265,2.919220,5.896813,5.956376,0.000000,6.138823
0.020000,7.683001,16.129874,3.038348,6.015940,5.956376,-0.000000,6.134540
0.020000,7.803133,16.111623,3.159858,6.135068,5.956376,0.000000,6.130311
0.020000,7.925541,16.092500,3.283750,6.254195,5.956376,0.000000,6.126142
0.020000,8.050221,16.072493,3.410026,6.373323,5.956376,0.000000,6.122043
0.020000,8.177170,16.051594,3.538683,6.492450,5.956376,-0.000000,6.118022
0.020000,8.306384,16.029793,3.669724,6.611578,5.956376,0.000000,6.114088
0.020000,8.437860,16.007085,3.803146,6.730705,5.956376,-0.000000,6.110249
0.020000,8.571595,15.983464,3.938952,6.849833,5.956376,0.000000,6.106516
0.020000,8.707587,15.958929,4.077140,6.968960,5.956376,-0.000000,6.102896
0.020000,8.845835,15.933479,4.217710,7.088088,5.956376,0.000000,6.099400
0.020000,8.986336,15.907116,4.360663,7.207216,5.956376,0.000000,6.096037
0.020000,9.129089,15.879843,4.505999,7.326343,5.956376,0.000000,6.092816
0.020000,9.274095,15.851666,4.653717,7.445471,5.956376,0.000000,6.089747
0.020000,9.421354,15.822595,4.803818,7.564598,5.956376,-0.000000,6.086839
0.020000,9.570866,15.792640,4.956301,7.683726,5.956376,0.000000,6.084103
0.020000,9.722633,15.761816,5.111167,7.802853,5.956376,0.000000,6.081549
0.020000,9.876657,15.730138,5.268415,7.921981,5.956376,0.000000,6.079186
0.020000,10.032943,15.697627,5.428046,8.041108,5.956376,0.000000,6.077025
0.020000,10.191492,15.664305,5.590059,8.160236,5.956376,-0.000000,6.075076
0.020000,10.352311,15.630196,5.754455,8.279363,5.956376,0.000000,6.073350
0.020000,10.515404,15.595332,5.921234,8.398491,5.956376,-0.000000,6.071859
0.020000,10.680779,15.559742,6.090395,8.517618,5.956376,0.000000,6.070611
0.020000,10.848443,15.523463,6.261939,8.636746,5.956376,0.000000,6.069620
0.020000,11.018403,15.486535,6.435865,8.755873,5.956376,-0.000000,6.068895
0.020000,11.190670,15.448999,6.612174,8.875001,5.956376,0.000000,6.068449
0.020000,11.364659,15.411034,6.790256,8.933227,2.911324,-152.252635,6.068293
0.020000,11.538620,15.373073,6.968311,8.872326,-3.045053,-297.818824,6.068433
0.020000,11.710834,15.335545,7.144567,8.753199,-5.956376,-145.566189,6.068863
0.020000,11.880741,15.298620,7.318439,8.634071,-5.956376,0.000000,6.069571
0.020000,12.048350,15.262344,7.489929,8.514944,-5.956376,0.000000,6.070547
0.020000,12.213670,15.226753,7.659037,8.395816,-5.956376,-0.000000,6.071778
0.020000,12.376708,15.191885,7.825762,8.276689,-5.956376,0.000000,6.073254
0.020000,12.537471,15.157771,7.990105,8.157561,-5.956376,0.000000,6.074963
0.020000,12.695964,15.124441,8.152065,8.038434,-5.956376,-0.000000,6.076896
0.020000,12.852193,15.091919,8.311642,7.919306,-5.956376,0.000000,6.079041
0.020000,13.006160,15.060229,8.468837,7.800179,-5.956376,-0.000000,6.081388
0.020000,13.157870,15.029389,8.623649,7.681051,-5.956376,-0.000000,6.083927
0.020000,13.307324,14.999418,8.776079,7.561924,-5.956376,0.000000,6.086647
0.020000,13.454524,14.970327,8.926126,7.442796,-5.956376,0.000000,6.089539
0.020000,13.599471,14.942130,9.073791,7.323668,-5.956376,0.000000,6.092593
0.020000,13.742166,14.914834,9.219073,7.204541,-5.956376,-0.000000,6.095799
0.020000,13.882608,14.888446,9.361972,7.085413,-5.956376,0.000000,6.099146
0.020000,14.020796,14.862969,9.502489,6.966286,-5.956376,0.000000,6.102627
0.020000,14.156729,14.838406,9.640624,6.847158,-5.956376,0.000000,6.106231
0.020000,14.290405,14.814756,9.776376,6.728031,-5.956376,0.000000,6.109949
0.020000,14.421821,14.792016,9.909745,6.608903,-5.956376,-0.000000,6.113773
0.020000,14.550975,14.770183,10.040732,6.489776,-5.956376,0.000000,6.117692
0.020000,14.677864,14.749249,10.169336,6.370648,-5.956376,0.000000,6.121698
0.020000,14.802485,14.729207,10.295558,6.251521,-5.956376,0.000000,6.125782
0.020000,14.924832,14.710048,10.419397,6.132393,-5.956376,-0.000000,6.129936
0.020000,15.044904,14.691759,10.540853,6.013266,-5.956376,0.000000,6.134152
0.020000,15.162695,14.674328,10.659927,5.894138,-5.956376,0.000000,6.138420
0.020000,15.278202,14.657742,10.776619,5.775011,-5.956376,0.000000,6.142732
0.020000,15.391420,14.641985,10.890928,5.655883,-5.956376,-0.000000,6.147081
0.020000,15.502344,14.627040,11.002854,5.536756,-5.956376,0.000000,6.151458
0.020000,15.610970,14.612889,11.112398,5.417628,-5.956376,0.000000,6.155855
0.020000,15.717293,14.599515,11.219559,5.298500,-5.956376,0.000000,6.160266
0.020000,15.821309,14.586897,11.324338,5.179373,-5.956376,0.000000,6.164682
0.020000,15.923013,14.575014,11.426734,5.060245,-5.956376,-0.000000,6.169096
0.020000,16.022401,14.563847,11.526748,4.941118,-5.956376,0.000000,6.173501
0.020000,16.119469,14.553372,11.624379,4.821990,-5.956376,-0.000000,6.177890
0.020000,16.214211,14.543568,11.719628,4.702863,-5.956376,0.000000,6.182256
0.020000,16.306625,14.534410,11.812494,4.583735,-5.956376,-0.000000,6.186593
0.020000,16.396705,14.525877,11.902977,4.464608,-5.956376,0.000000,6.190894
0.020000,16.484448,14.517944,11.991078,4.345480,-5.956376,0.000000,6.195152
0.020000,16.569850,14.510587,12.076796,4.226353,-5.956376,-0.000000,6.199363
0.020000,16.652907,14.503782,12.160132,4.107225,-5.956376,0.000000,6.203519
0.020000,16.733616,14.497504,12.241085,3.988098,-5.956376,0.000000,6.207615
0.020000,16.811974,14.491730,12.319656,3.868970,-5.956376,-0.000000,6.211646
0.020000,16.887978,14.486434,12.395844,3.749843,-5.956376,0.000000,6.215607
0.020000,16.961625,14.481593,12.469650,3.630715,-5.956376,-0.000000,6.219492
0.020000,17.032912,14.477182,12.541073,3.511588,-5.956376,0.000000,6.223296
0.020000,17.101836,14.473178,12.610113,3.392460,-5.956376,-0.000000,6.227015
0.020000,17.168395,14.469556,12.676771,3.273332,-5.956376,0.000000,6.230645
0.020000,17.232588,14.466294,12.741046,3.154205,-5.956376,-0.000000,6.234180
0.020000,17.294411,14.463368,12.802939,3.035077,-5.956376,0.000000,6.237617
0.020000,17.353864,14.460757,12.862449,2.915950,-5.956376,0.000000,6.240951
0.020000,17.410945,14.458437,12.919577,2.796822,-5.956376,-0.000000,6.244180
0.020000,17.465652,14.456387,12.974322,2.677695,-5.956376,0.000000,6.247300
0.020000,17.517983,14.454587,13.026685,2.558567,-5.956376,-0.000000,6.250306
0.020000,17.567938,14.453016,13.076665,2.439440,-5.956376,0.000000,6.253197
0.020000,17.615517,14.451655,13.124263,2.320312,-5.956376,-0.000000,6.255968
0.020000,17.660716,14.450484,13.169478,2.201185,-5.956376,0.000000,6.258617
0.020000,17.703537,14.449486,13.212310,2.082057,-5.956376,0.000000,6.261142
0.020000,17.743978,14.448643,13.252760,1.962930,-5.956376,-0.000000,6.263540
0.020000,17.782039,14.447938,13.290827,1.843802,-5.956376,0.000000,6.265808
0.020000,17.817719,14.447356,13.326512,1.724675,-5.956376,0.000000,6.267944
0.020000,17.851018,14.446882,13.359814,1.605547,-5.956376,0.000000,6.269947
0.020000,17.881935,14.446501,13.390734,1.486420,-5.956376,0.000000,6.271814
0.020000,17.910471,14.446201,13.419271,1.367292,-5.956376,0.000000,6.273544
0.020000,17.936624,14.445970,13.445425,1.248164,-5.956376,0.000000,6.275134
0.020000,17.960396,14.445796,13.469198,1.129037,-5.956376,0.000000,6.276585
0.020000,17.981785,14.445669,13.490587,1.009909,-5.956376,-0.000000,6.277893
0.020000,18.000791,14.445579,13.509594,0.890782,-5.956376,0.000000,6.279059
0.020000,18.017415,14.445519,13.526218,0.771654,-5.956376,-0.000000,6.280081
0.020000,18.031657,14.445481,13.540460,0.652527,-5.956376,0.000000,6.280958
0.020000,18.043517,14.445459,13.552319,0.533399,-5.956376,-0.000000,6.281689
0.020000,18.052993,14.445448,13.561796,0.414272,-5.956376,0.000000,6.282274
0.020000,18.060087,14.445443,13.568890,0.295144,-5.956376,-0.000000,6.282713
0.020000,18.064799,14.445441,13.573602,0.176017,-5.956376,0.000000,6.283004
0.020000,18.067142,14.445441,13.575944,0.058226,-5.889512,3.343223,6.283149
0.020000,18.067724,14.445441,13.576527,0.000000,-2.911324,148.909412,0.000000
0.020000,18.067724,14.445441,13.576527,0.000000,0.000000,145.566189,0.000000
